commodity_code,region_code,price_month,price_value,currency_code,unit,source_system,source_url,source_record_id
CEREALS,GLOBAL,1994-04-01,62.4,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1994-04_1354
CEREALS,GLOBAL,1994-05-01,62.0,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1994-05_1355
CEREALS,GLOBAL,1994-06-01,60.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1994-06_1356
CEREALS,GLOBAL,1994-07-01,56.0,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1994-07_1357
CEREALS,GLOBAL,1994-08-01,57.5,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1994-08_1358
CEREALS,GLOBAL,1994-09-01,60.2,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1994-09_1359
CEREALS,GLOBAL,1994-10-01,61.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1994-10_1360
CEREALS,GLOBAL,1994-11-01,61.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1994-11_1361
CEREALS,GLOBAL,1994-12-01,62.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1994-12_1362
CEREALS,GLOBAL,1995-01-01,62.9,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1995-01_1363
